level_0,Action,Documentary,Adventure,Comedy,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Animation,Language,combined_features,title,id,popularity,keywords,index
54,,Documentary,,,,,,,,,,,,,,,,,Foreign, Documentary                 Foreign garden hat historical short film ,Roundhay Garden Scene,16463,11.996,garden hat historical short film ,0
2382,,,,Comedy,,,,,,,,,,,,,,,English,   Comedy               English moon based on novel or book satire astronomer silent film scientific expedition space adventure early cinema selenite short film ,A Trip to the Moon,775,17.51,moon based on novel or book satire astronomer silent film scientific expedition space adventure early cinema selenite short film ,1
9244,,,,Comedy,Drama,,,,,,,,,,,,,,English,   Comedy Drama              English ku klux klan southern usa army racist silent film american civil war reconstruction era ,The Birth of a Nation,618,11.092,ku klux klan southern usa army racist silent film american civil war reconstruction era ,2
10703,,,,Comedy,,,,,,,,,,,,,,,English,   Comedy               English naivety intolerance mill marriage wedding massacre protestant silent film multiple storylines reformer saved from hanging babylon 16th century partially lost film 1st century huguenot 6th century bc ,Intolerance: Love's Struggle Throughout the Ages,3059,9.374,naivety intolerance mill marriage wedding massacre protestant silent film multiple storylines reformer saved from hanging babylon 16th century partially lost film 1st century huguenot 6th century bc ,3
12672,Action,,,Comedy,,,,,,,,,,,Thriller,,,,English,Action   Comedy           Thriller    English world war i black and white silent film behind enemy lines trench warfare doughboy kaiser ,Shoulder Arms,53423,10.722,world war i black and white silent film behind enemy lines trench warfare doughboy kaiser ,4
13247,,,,,Drama,,,,,,,,,,,,,,English,"    Drama              English london, england suicide china boxer buddhist murder racism black and white alcoholic silent film based on short story ",Broken Blossoms,899,12.103,"london, england suicide china boxer buddhist murder racism black and white alcoholic silent film based on short story ",5
13983,,,,Comedy,,,,,,Music,,,,,,,,,English,   Comedy      Music         English insane asylum black and white cult film silent film psychotronic unreliable narrator expressionism somnambulist unreliable flashback megalomania madman somnambulism german expressionism ,The Cabinet of Dr. Caligari,234,17.145,insane asylum black and white cult film silent film psychotronic unreliable narrator expressionism somnambulist unreliable flashback megalomania madman somnambulism german expressionism ,6
14527,,,,,Drama,,,,,,,,,,,,,,English,"    Drama              English based on novel or book jewish ghetto prague, czech republic rabbi in vitro fertilisation prequel anti-semitism expressionism golem 16th century german expressionism ",The Golem: How He Came into the World,2972,10.031,"based on novel or book jewish ghetto prague, czech republic rabbi in vitro fertilisation prequel anti-semitism expressionism golem 16th century german expressionism ",7
14692,Action,,Adventure,Comedy,,,,,,,,,,,,,,,English,Action  Adventure Comedy               English poison new year's eve based on novel or book cemetery fight phantom flashback consumerism dying wish alcoholic death silent film tuberculosis carriage story within the story deathbed salvation abused wife ,The Phantom Carriage,58129,10.282,poison new year's eve based on novel or book cemetery fight phantom flashback consumerism dying wish alcoholic death silent film tuberculosis carriage story within the story deathbed salvation abused wife ,8
14828,,,,,,,,,,,,Romance,,,,,,,Foreign,           Romance       Foreign angel suicide attempt fistfight slapstick black and white class differences foundling silent film dream sequence semi autobiographical car theft little tramp illegitimate child unwed mother abandoned baby out of wedlock child raised like own child good deed doer ,The Kid,10098,19.755,angel suicide attempt fistfight slapstick black and white class differences foundling silent film dream sequence semi autobiographical car theft little tramp illegitimate child unwed mother abandoned baby out of wedlock child raised like own child good deed doer ,9
